Method	Domain	Family	FLU	HEX	OIL	PD5	PD6	PF7	PHE	PHE+FLU	PHE+HEX	PHE+OIL	PHE+PYR	PYR	FAR_Island_C	NOR_Island_C	NOR_Island_W	PRI_Island_W	SAN_Island_W	Control_W	Soil_Env	Soil_MC	Water_Env	Water_MC	Coral_Env
Environmental	Bacteria	Leptotrichiaceae													0	10	3	17	5		0	0	25	0	10
Environmental	Bacteria	Listeriaceae													7	11	7	4	5		0	0	16	0	18
Environmental	Bacteria	Magnetococcaceae													5	20	7	17	15		0	0	39	0	25
Environmental	Bacteria	Magnetospirillaceae													0	0	0	1	0		0	0	1	0	0
Environmental	Bacteria	Maricaulaceae													11	37	16	52	136		0	0	204	0	48
Environmental	Bacteria	Marinithermaceae													3	9	0	7	4		0	0	11	0	12
Environmental	Bacteria	Marinomonadaceae													7	26	73	70	61		0	0	204	0	33
Environmental	Bacteria	Mariprofundaceae													0	9	3	11	2		0	0	16	0	9
Environmental	Bacteria	Megasphaeraceae													5	0	0	3	2		0	0	5	0	5
Environmental	Bacteria	Methylacidiphilaceae													0	5	0	3	3		0	0	6	0	5
Environmental	Bacteria	Methylococcaceae													10	25	5	25	20		0	0	50	0	35
Environmental	Bacteria	Methylomonadaceae													1	8	7	9	15		0	0	31	0	9
Environmental	Bacteria	Methylophagaceae													2	8	10	13	13		0	0	36	0	10
Environmental	Bacteria	Methylophilaceae													9	25	13	27	36		0	0	76	0	34
Environmental	Bacteria	Microbacteriaceae													0	3	1	1	2		0	0	4	0	3
Environmental	Bacteria	Microchaetaceae													1	1	0	0	0		0	0	0	0	2
Environmental	Bacteria	Micrococcaceae													9	28	5	14	5		0	0	24	0	37
Environmental	Bacteria	Microcoleaceae													91	77	4	49	50		0	0	103	0	168
Environmental	Bacteria	Microcystaceae													16	19	9	13	15		0	0	37	0	35
Environmental	Bacteria	Micromonosporaceae				0	317	0							12	62	2	17	30		317	0	49	0	74
Environmental	Bacteria	Micropepsaceae				366	79	260													705	0	0	0	0
Environmental	Bacteria	Microscillaceae				0	0	94							4	17	9	16	44		94	0	69	0	21
Environmental	Bacteria	Moorellaceae													5	27	0	4	5		0	0	9	0	32
Environmental	Bacteria	Moraxellaceae				31	0	0							15	39	224	116	86		31	0	426	0	54
Environmental	Bacteria	Moritellaceae													1	5	42	27	9		0	0	78	0	6
Environmental	Bacteria	Mycobacteriaceae				701	897	847							53	245	25	89	79		2445	0	193	0	298
Environmental	Bacteria	Mycoplasmataceae													0	1	1	0	2		0	0	3	0	1
Environmental	Bacteria	Mycoplasmoidaceae													0	0	0	1	0		0	0	1	0	0
Environmental	Bacteria	Myxococcaceae				0	0	289							21	89	14	19	41		289	0	74	0	110
Environmental	Bacteria	Nakamurellaceae													2	14	1	7	7		0	0	15	0	16
Environmental	Bacteria	Nannocystaceae													13	42	2	7	18		0	0	27	0	55
Environmental	Bacteria	Natranaerobiaceae													0	6	2	5	1		0	0	8	0	6
Environmental	Bacteria	Natronincolaceae													2	7	3	14	9		0	0	26	0	9
Environmental	Bacteria	Natronospirillaceae													0	8	23	28	30		0	0	81	0	8
Environmental	Bacteria	Nautiliaceae													0	1	2	3	2		0	0	7	0	1
Environmental	Bacteria	Neisseriaceae													3	25	23	41	40		0	0	104	0	28
Environmental	Bacteria	Nitrincolaceae													6	15	19	28	31		0	0	78	0	21
Environmental	Bacteria	Nitrococcaceae													5	34	5	8	15		0	0	28	0	39
Environmental	Bacteria	Nitrosococcaceae													19	63	22	50	54		0	0	126	0	82
Environmental	Bacteria	Nitrosomonadaceae													6	22	13	33	30		0	0	76	0	28
Environmental	Bacteria	Nitrospiraceae													2	0	0	0	0		0	0	0	0	2
Environmental	Bacteria	Nocardioidaceae				0	101	0							0	29	3	6	20		101	0	29	0	29
Environmental	Bacteria	Nostocaceae													79	120	16	70	59		0	0	145	0	199
Environmental	Bacteria	Obscuribacteraceae				0	0	64													64	0	0	0	0
Environmental	Bacteria	Oceanospirillaceae													4	14	26	18	21		0	0	65	0	18
Environmental	Bacteria	Oleiphilaceae													21	78	125	165	255		0	0	545	0	99
Environmental	Bacteria	Opitutaceae				49	42	0							4	25	3	9	18		91	0	30	0	29
Environmental	Bacteria	Oscillospiraceae													0	4	0	4	1		0	0	5	0	4
Environmental	Bacteria	Paenibacillaceae													7	89	6	14	21		0	0	41	0	96
Environmental	Bacteria	Paludibacteraceae													0	3	0	0	10		0	0	10	0	3
Environmental	Bacteria	Parachlamydiaceae													3	2	0	6	2		0	0	8	0	5
Environmental	Bacteria	Parvibaculaceae													9	44	17	84	73		0	0	174	0	53
Environmental	Bacteria	Parvularculaceae													4	15	9	25	33		0	0	67	0	19
Environmental	Bacteria	Pasteurellaceae													19	33	88	111	74		0	0	273	0	52
Environmental	Bacteria	Pedosphaeraceae				1114	2113	3250							8	47	1	12	23		6477	0	36	0	55
Environmental	Bacteria	Pelagibacteraceae													4	8	385	1971	924		0	0	3280	0	12
Environmental	Bacteria	Pelobacteraceae													11	40	5	13	26		0	0	44	0	51
